Welcome to Advit's Feature Selection Algorithm.
Type in the name of the file to test: 
This dataset has 64 features (not including the class attribute), with 3000 instances.
Running nearest neighbor with all 64 features, using "leaving-one-out" evaluation, I get an accuracy of 68.8%

Type the number of the algorithm you want to run.
1) Forward Selection
2) Backward Elimination

Beginning search.

Using feature(s) {1} accuracy is 70.6%
Using feature(s) {2} accuracy is 69.6%
Using feature(s) {3} accuracy is 69.9%
Using feature(s) {4} accuracy is 70.3%
Using feature(s) {5} accuracy is 70.7%
Using feature(s) {6} accuracy is 69.4%
Using feature(s) {7} accuracy is 75.2%
Using feature(s) {8} accuracy is 69.3%
Using feature(s) {9} accuracy is 69.4%
Using feature(s) {10} accuracy is 70.1%
Using feature(s) {11} accuracy is 69.6%
Using feature(s) {12} accuracy is 70.3%
Using feature(s) {13} accuracy is 71.0%
Using feature(s) {14} accuracy is 70.3%
Using feature(s) {15} accuracy is 68.7%
Using feature(s) {16} accuracy is 69.1%
Using feature(s) {17} accuracy is 69.4%
Using feature(s) {18} accuracy is 70.2%
Using feature(s) {19} accuracy is 69.5%
Using feature(s) {20} accuracy is 71.3%
Using feature(s) {21} accuracy is 71.0%
Using feature(s) {22} accuracy is 69.9%
Using feature(s) {23} accuracy is 67.9%
Using feature(s) {24} accuracy is 84.7%
Using feature(s) {25} accuracy is 70.7%
Using feature(s) {26} accuracy is 69.6%
Using feature(s) {27} accuracy is 70.3%
Using feature(s) {28} accuracy is 69.5%
Using feature(s) {29} accuracy is 68.5%
Using feature(s) {30} accuracy is 70.7%
Using feature(s) {31} accuracy is 69.1%
Using feature(s) {32} accuracy is 69.3%
Using feature(s) {33} accuracy is 70.9%
Using feature(s) {34} accuracy is 69.1%
Using feature(s) {35} accuracy is 71.0%
Using feature(s) {36} accuracy is 70.7%
Using feature(s) {37} accuracy is 70.1%
Using feature(s) {38} accuracy is 69.9%
Using feature(s) {39} accuracy is 69.8%
Using feature(s) {40} accuracy is 69.0%
Using feature(s) {41} accuracy is 69.1%
Using feature(s) {42} accuracy is 69.5%
Using feature(s) {43} accuracy is 72.3%
Using feature(s) {44} accuracy is 70.4%
Using feature(s) {45} accuracy is 70.6%
Using feature(s) {46} accuracy is 69.4%
Using feature(s) {47} accuracy is 70.4%
Using feature(s) {48} accuracy is 70.9%
Using feature(s) {49} accuracy is 69.9%
Using feature(s) {50} accuracy is 70.7%
Using feature(s) {51} accuracy is 72.0%
Using feature(s) {52} accuracy is 69.3%
Using feature(s) {53} accuracy is 70.7%
Using feature(s) {54} accuracy is 70.5%
Using feature(s) {55} accuracy is 71.5%
Using feature(s) {56} accuracy is 71.2%
Using feature(s) {57} accuracy is 70.6%
Using feature(s) {58} accuracy is 69.5%
Using feature(s) {59} accuracy is 71.5%
Using feature(s) {60} accuracy is 69.4%
Using feature(s) {61} accuracy is 68.8%
Using feature(s) {62} accuracy is 69.2%
Using feature(s) {63} accuracy is 69.3%
Using feature(s) {64} accuracy is 71.4%

Feature set {24} was best, accuracy is 84.7%

Using feature(s) {1,24} accuracy is 83.2%
Using feature(s) {2,24} accuracy is 84.4%
Using feature(s) {3,24} accuracy is 84.5%
Using feature(s) {4,24} accuracy is 83.6%
Using feature(s) {5,24} accuracy is 82.9%
Using feature(s) {6,24} accuracy is 83.4%
Using feature(s) {7,24} accuracy is 96.4%
Using feature(s) {8,24} accuracy is 84.1%
Using feature(s) {9,24} accuracy is 85.3%
Using feature(s) {10,24} accuracy is 83.0%
Using feature(s) {11,24} accuracy is 82.9%
Using feature(s) {12,24} accuracy is 83.5%
Using feature(s) {13,24} accuracy is 83.7%
Using feature(s) {14,24} accuracy is 83.9%
Using feature(s) {15,24} accuracy is 83.4%
Using feature(s) {16,24} accuracy is 83.6%
Using feature(s) {17,24} accuracy is 83.2%
Using feature(s) {18,24} accuracy is 83.0%
Using feature(s) {19,24} accuracy is 82.9%
Using feature(s) {20,24} accuracy is 83.7%
Using feature(s) {21,24} accuracy is 83.8%
Using feature(s) {22,24} accuracy is 83.7%
Using feature(s) {23,24} accuracy is 83.8%
Using feature(s) {24,25} accuracy is 83.9%
Using feature(s) {24,26} accuracy is 83.3%
Using feature(s) {24,27} accuracy is 83.7%
Using feature(s) {24,28} accuracy is 84.3%
Using feature(s) {24,29} accuracy is 83.4%
Using feature(s) {24,30} accuracy is 83.0%
Using feature(s) {24,31} accuracy is 83.2%
Using feature(s) {24,32} accuracy is 83.8%
Using feature(s) {24,33} accuracy is 83.2%
Using feature(s) {24,34} accuracy is 83.5%
